Original_Message,Extremism_Label,VE vs NVE classification,VE Subtype classification,Target demographics Detection,Justification
yet calling president trump and republicans nazi s is fine illegal aliens,EXTREMIST,NVE,N/A,"Political group, Nationality","The message expresses vocal opposition and grievances towards political groups (president Trump and Republicans) and a nationality-related group (illegal aliens) but does not contain serious threats, support for physical attacks, or calls for action."
jihadi john is a terrorist,EXTREMIST,NVE,N/A,Unclear,"The message expresses vocal opposition by labeling an individual as a terrorist but does not contain any serious threat, advocacy for violence, structural damage, support for physical attacks, or a personal responsibility to act."
i really sympathize for the kid at do not care office who answered my call i asked him how he feels about government approved murder and sexual trafficking of detained immigrant children he told me he feels awful but the congressman has no new comment,EXTREMIST,NVE,N/A,"Nationality (immigrants), Occupation (government/congressman)","The message expresses vocal opposition to government practices and grievance about treatment of detained immigrant children, but does not contain serious threats of action, advocacy for physical attacks, or personal responsibility to act."
whatever applaud the murder of black people,EXTREMIST,VE,ideological,ethnic/racial group,"The message supports murder (a serious threat of action) specifically targeting black people, indicating support for physical attacks. This meets the criteria for Violent Extremist with an ideological dimension."
i would like to see every jewish ghetto burn to the ground,EXTREMIST,VE,Religious,Religious group,"The message contains a serious threat of action advocating structural damage ('every jewish ghetto burn to the ground'), indicating support for physical attacks and expressing intent to cause harm targeting a religious group."
leader and i use that word entirely wrongly claims muslims should not adapt to our where are you of life whatever must yield and concede to theirs since trope has legalized bestiality and child sex has made it a federal offense to report islamic terrorist attacks being cont,EXTREMIST,NVE,N/A,Religious group,"The message expresses vocal opposition and grievances against Muslim communities and legal/political structures but does not contain a serious threat of action, advocacy for physical attacks, or structural damage. It indicates frustration but lacks explicit calls for violence."
let us kill all of them and get it over with they are all fucking terrorists,EXTREMIST,VE,ideological,Unclear,"The message contains a serious threat of action ('let us kill all of them') and expresses support for physical attacks, meeting the criteria for Violent Extremist. The target group is not explicitly identified beyond being labeled as 'terrorists', leading to unclear specific demographics."
ceasefire let s see how long those towel heads can go without trying to attack israel then cry to national media when they get popped again,EXTREMIST,VE,Political,Religious group,"The message expresses support for physical attacks against a religiously identified group ('towel heads'), implying a serious threat of action and endorsing violence toward that group."
those mulatto vermin should not be allowed to live here anymore,EXTREMIST,VE,Ideological,Ethnic/racial group,"The message contains a serious threat of action against an ethnic/racial group, expressing support for their removal or harm, fitting the Violent Extremist criteria."
whatever applaud the murder of trans people,EXTREMIST,VE,ideological,Gender,"The message applauds the murder of trans people, expressing support for physical attacks, which constitutes a serious threat of action directed at a specific demographic group based on gender identity."
love let not all men be equally yoked to the animals who hurt women for pleasure and lack of confidence in themselves,EXTREMIST,NVE,N/A,Gender,"The message expresses vocal opposition and ingroup-outgroup grievances against men who harm women, but does not contain serious threats, advocate for physical attacks, or indicate personal responsibility to act."
never a doubt that our founders saw the writing on the wall when they revolted against the british uk supports the muslim global caliphate christian refugees not welcome,EXTREMIST,NVE,,"Religious group, Nationality","The message expresses vocal opposition to mainstream values and ingroup-outgroup grievances, specifically against Muslims and Christian refugees, without advocating for physical attacks, structural damage, or personal responsibility to act."
let us kill all of them and get it over with they are fucking criminals and deserve to die,EXTREMIST,VE,Political,Unclear,"The message contains a serious threat of action ('let us kill all of them'), expresses support for physical attacks, and indicates a personal responsibility to act. The target group is not explicitly identified."
whatever do not blow up our wives and children in the name an allah nor did whatever murder in darfur let us not compare apples and oranges,EXTREMIST,NVE,N/A,Religious group,"The message expresses vocal opposition and comparison between violent acts associated with religious justifications but does not advocate for or support physical attacks, threats, structural damage, or personal responsibility to act violently."
i encourage the murder of asylum seekers,EXTREMIST,VE,Political,Nationality (asylum seekers),"The message explicitly encourages murder, a clear serious threat of action and support for physical attacks, targeting asylum seekers based on their nationality/status."
kill la kill what a slut trash,EXTREMIST,NVE,N/A,Gender,"The message contains derogatory language targeted at an individual or group based on perceived sexual behavior (implied gender-based insult), but does not include any serious threat, advocacy for physical attacks, or responsibility to act. It expresses vocal opposition or insult without violent extremism indicators."
i wish you had called in and dropped this knowledge bomb on them they would not have known what to do with themselves,EXTREMIST,NVE,N/A,Unclear,"The message expresses a desire to share impactful information ('knowledge bomb') but does not contain any threat of violence, advocacy for physical attacks, or personal responsibility to act violently. No mention of specific target groups or cognitive opening indicating a crisis."
california says he isnt a murderer prosecutors disagreed after nine years in jail awaiting trial nero wilson what a slut released when california changed its murder laws last fall,EXTREMIST,NVE,N/A,Unclear,"The message expresses vocal opposition and grievance regarding a legal case and a person's character but does not contain any serious threat, advocacy for structural damage, support for physical attacks, or indication of personal responsibility to act."
whatever applaud the murder of muslims,EXTREMIST,VE,Religious,Religious group,"The message explicitly expresses support for the murder of Muslims, which is a serious threat of action and support for physical attacks, fitting the definition of Violent Extremist (VE) with a religious subtype targeting a religious group."
guests so naive to say and believe traitor trump is walking back and correcting his statement trump what a slut being truthful with trumpisatraitor,EXTREMIST,NVE,N/A,Political group,"The message expresses vocal opposition to a political figure (Trump) and uses derogatory language but does not contain serious threats, calls for physical attacks, or indications of personal responsibility to act."
borisjohnsonshouldnotbepm ever no threats to kill boris johnson as fabricated by fta,EXTREMIST,NVE,N/A,Political group,"The message expresses vocal opposition to Boris Johnson, a political figure, without containing any serious threat, advocacy for violence, or personal responsibility to act."
your avi probably shoot dust out your phone because that shit so old you catfishing the bitches on here laughing my ass off,EXTREMIST,NVE,N/A,Gender,"The message contains vocal opposition and derisive language targeting a gender group ('bitches') but does not contain serious threats, advocate physical attacks, or suggest responsibility to act violently."
in my opinion whatever should be afraid of them they are unpredictable savage animals you just never know and you should not count on anyone jumping in to save you if something happens and you got the daylights stomped out of you by a pack of black people,EXTREMIST,NVE,,ethnic/racial group,"The message expresses vocal opposition and negative stereotypes about a racial group ('black people') using dehumanizing language, but does not contain a serious threat, advocate for physical attacks, or suggest personal responsibility to act."
foreign invader ernesto esquivel garcia twice arrested in the custody of immigration officials twice released just to go kill an american citizen pouting face deportthemall buildthewall pitbull flag united states red heart,EXTREMIST,VE,Political,Nationality,"The message contains a serious threat of action ('deportthem all', 'buildthewall') and expresses support for structural measures against a demographic group ('foreign invader', repeated references to immigration and killing of a citizen), indicating political violent extremism targeting foreigners/immigrants."
somali refugees arrested for planning isis attack inside us the suspects had been in communication with a fbi agent whom they thought what a slut an isis supporter to purchased tickets to egypt if they were unable to travel the pair had planned to carry out an attack inside united states of america,EXTREMIST,VE,Religious,"Religious group (Muslims/ISIS supporters), Nationality (Somali refugees)","The message describes a serious threat of action involving an ISIS attack planned inside the United States, indicating advocacy for physical attacks and involvement in terrorism linked to religious extremism."
on the anniversary of isis all ada supporters each claim ben laden as their own as a show of their jihad authenticity pathetic,EXTREMIST,NVE,N/A,Religious group,"The message expresses vocal opposition and grievances by mocking ISIS supporters and their association with jihad, but it does not contain serious threats, explicit advocacy for structural damage, personal responsibility to act, or support for physical attacks."
caucasians not welcome in europe new world order intentions are to eradicate all traces of white skinned people known as the clergy white genocide plan this is why these only so called refugees allowed to settle in europe are all dark skinned no white skinned,EXTREMIST,NVE,N/A,"Ethnic/Racial group (White skinned people, Dark skinned people), Political group (New World Order)","The message expresses vocal opposition and ingroup-outgroup grievances centered on race and alleged political conspiracies, without mentioning physical force, threats, structural damage, or personal responsibility to act."
dykes are senseless disgusting people they hate men and want the world to burn under their gay domain,EXTREMIST,NVE,N/A,"Gender, Sexual orientation","The message expresses vocal opposition and ingroup-outgroup grievances against a gender and sexual orientation group, but does not contain serious threats, advocacy for physical attacks, or mention of structural damage or personal responsibility to act."
if a nigca never told you bitch you got some bomb ass fuzzy kill ya self bitch,EXTREMIST,VE,ideological,Ethnic/racial group,"The message contains a serious threat of action ('kill ya self') directed at an ethnic/racial group, constituting violent extremist content."
power bomb that hoe,EXTREMIST,NVE,N/A,Gender,"The message uses derogatory language targeting a gender group but does not contain a serious threat of action, advocacy for physical attacks, or structural damage. It expresses vocal opposition or hostility but no explicit call to violence."
let us kill all of them and get it over with they are all fucking rapists,EXTREMIST,VE,ideological,Unclear,"The message contains a serious threat of action ('let us kill all of them'), expressing support for physical attacks, which meets criteria for Violent Extremist. Specific target group is not clearly identified beyond a broad accusation."
ugly traitor go to jail and do not pass go buildthewall lockthemup indiana now,EXTREMIST,VE,political,"Nationality, Political group","The message includes phrases like 'go to jail,' 'buildthewall,' and 'lockthemup' which imply support for physical actions or enforcement against a targeted group, indicating a serious threat of action and a personal responsibility to act, fitting the Violent Extremist classification. The references relate to political targets, specifically nationality and political groups."
as whatever whites are naturally superior whatever need to make sure whatever do not start behaving in non white ways such as fighting with each other and getting publicly nasty,EXTREMIST,NVE,N/A,Ethnic/racial group (White and Non-White),"The message expresses ingroup-outgroup grievance based on race, emphasizing 'whites' superiority and concern over behavior, without mentioning physical force, threats, or responsibility to act."
how do you make a plumber cry you kill his family,EXTREMIST,VE,political,Occupation,"The message contains a serious threat of action involving killing a plumber's family, which is a direct support for physical harm, qualifying it as Violent Extremist. The target is an occupation group (plumbers)."
how can serving years in prison for the murder of a boy be justice i am curious to know what qualifications and life experiences a person has to have to be on a parole board that releases a child killer back into society even worse a child killer that has shown no remorse and is far from a model prisoner if possible could the please reveal their names and faces i believe they should be held equally responsible and accountable if when freddie commits another violent crime if they were held accountable maybe they would think twice before releasing them let us be honest does anyone think the original sentence of years is justice for the killing of an innocent child my deepest sympathies go out to the family of camilla,EXTREMIST,NVE,N/A,Unclear,"The message expresses vocal opposition and grievance regarding the parole board's decision to release a child killer, questioning justice and accountability but does not advocate for violence, physical attacks, or express a personal responsibility to act violently. There is a cognitive opening related to justice and accountability but no serious threat or advocacy of violent action."
retweet you ever kill an ant on the sidewalk and think damn what if that nigga what a slut on his where are you to get some pussy,EXTREMIST,NVE,N/A,Ethnic/racial group,"The message contains vocal opposition and uses derogatory language targeting an ethnic/racial group but does not contain serious threats, advocacy for structural damage, or calls to physical violence."
why is it that you do not kill yourself you stupid fascist puppet,EXTREMIST,VE,political,Political group,"The message contains a direct threat implying harm ('kill yourself') towards a political group labeled as 'fascist puppet,' indicating advocacy for physical attack and serious threat of action."
attack any mulattoes that you see,EXTREMIST,VE,Ideological,Ethnic/racial group,"The message contains a direct call to violence ('attack any mulattoes'), indicating a serious threat of action and support for physical attacks targeting a specific ethnic/racial group."
i am not coming from a racist viewpoint but guys from india seem far more rama than guys from the terrorist countries,EXTREMIST,NVE,N/A,Nationality,"The message expresses a comparison and implicit negative sentiment towards certain nationalities without advocating violence, physical attacks, or making a serious threat of action."
i am going to kill amy,EXTREMIST,VE,Unclear,Unclear,"The message contains a serious threat of action explicitly stating intent to kill an individual, which constitutes violent extremist content. There is no specified ideological, political, or religious context, nor a clearly defined demographic target."
i purpose that whatever attack everyone who cannot adhere to british values starting with asians,EXTREMIST,VE,political,Ethnic/racial group,"The message contains a serious threat of action advocating attacks against those who do not adhere to British values, specifically targeting Asians, indicating support for physical violence and personal responsibility to act."
is the penny finally dropping whatever have imported enough rape murder and violence already turn the boats round whatever do not want them sendthemback rapeugeesnotwecome,EXTREMIST,VE,Political,Nationality,"The message contains a serious threat of action ('turn the boats round', 'sendthemback'), expresses support for physical attacks by implying association with 'rape murder and violence', and shows a personal responsibility to act against the targeted group ('whatever do not want them'). The target group is immigrants or refugees, identified by terms like 'imported', 'rapeugees'. The message advocates structural damage or forceful expulsion of this group."
attack any illegal aliens that you see,EXTREMIST,VE,political,Nationality,"The message contains a direct incitement to physical violence ('attack any illegal aliens'), indicating a serious threat of action and support for physical attacks targeting individuals based on their nationality/status."
this would be amusing if it didnt empower our enemies libprog cucks out to little brown people whom of course are majorities in their own countries white genocide stoptheinvasion,EXTREMIST,NVE,N/A,"Political group, Ethnic/racial group, Nationality","The message expresses vocal opposition and grievances towards political opponents ('libprog cucks'), certain ethnic groups ('little brown people'), and implies concerns about demographic changes ('white genocide', 'stoptheinvasion') without issuing serious threats, advocating physical attacks, or structural damage."
i went to a conference on lesbian issues can whatever just stab them all now and be done with it,EXTREMIST,VE,Ideological,"Gender, Sexual orientation","The message contains a serious threat of action ('stab them all now'), indicating support for physical attacks and personal responsibility to act, targeting individuals associated with lesbian issues (sexual orientation and gender)."
brilliant how muslims divert people s attention from terrorism by claiming there is a phobia against them,EXTREMIST,NVE,N/A,Religious group,"The message expresses vocal opposition to Muslims by accusing them of diverting attention from terrorism but does not contain threats, advocacy of violence, or personal responsibility to act."
the fight against the great replacement refugee crisis has begun germans protested and fought counterprotesters today spain sent back a bunch of migrants and europe no longer wants refugees good job europe fightback white genocide refugeesnotwelcome,EXTREMIST,VE,Political,"Ethnic/racial group (refugees, migrants, white population)","The message indicates a 'serious threat of action' by referencing protests and fights against counterprotesters, advocates for structural opposition to refugees labeled as a 'replacement' and 'white genocide,' and urges collective resistance ('fightback'). This constitutes support for physical action and frames a catalyst crisis (refugee crisis, 'great replacement'), fitting the Violent Extremist classification with a political focus targeting ethnic/racial groups."
go fuck yourself you dumbass bitch megan fug ate is a dirty ass lying gutter slut fucking whore and i would shoot that bitch myself and you do not know shit about the trial do not you ever talk shit on mike or dylan you fucking vagina and yeah dylan what a slut there that night it fucking happened you dumb bitch you do not know shit i know everything so go bury yourself a fucking hole lay in it and fucking die and whatever can put megan fug ate right next to you and you both can fucking die and rot in hell together you dumb piece of shit vagina go fucking die so i can shit and piss on your grave,EXTREMIST,VE,ideological,Individual (Megan) and Individual (Dylan),"The message contains direct serious threats of harm and death, explicitly stating intentions to shoot and kill specific individuals, indicating personal responsibility to act violently."
society sucks because whatever do not kill enough people like her paki bastard,EXTREMIST,VE,ideological,Ethnic/racial group,"The message contains a serious threat of action implied by the phrase 'do not kill enough people,' expresses support for physical harm, and targets an ethnic/racial group using a racial slur."
us govt is one big crime scene i e wh dhs hhs epa etc while ongoing conspiracy against the state continues unabated kidnapping immigrant children illegal arrest imprisonment of immigrants theft of federal funds for nazi rallies violating emoluments clause tax scam,EXTREMIST,NVE,N/A,Political group,"The message expresses vocal opposition to the US government and alleges misconduct and conspiracies but does not contain serious threats of action, advocacy for structural damage, support for physical attacks, or calls for personal responsibility to act."
fuck peta fucking animals have more sense than them,EXTREMIST,NVE,N/A,Animal rights activists (PETA),"The message expresses vocal opposition and animosity towards PETA and associates them with animals, but does not contain any serious threat, advocacy for structural damage, or call for physical attacks."
attack any foreigners that you see,EXTREMIST,VE,Political,Nationality,"The message contains a serious threat of action by directly advocating to 'attack any foreigners,' indicating support for physical violence and a call to act."
look at what you just said los new era girl bye kill bitches kindness what cousin,EXTREMIST,NVE,N/A,Unclear,"The message contains incoherent language without any clear threat, advocacy for violence, or calls for structural damage. There is no indication of personal responsibility to act violently or support for physical attacks. The post does not express clear vocal opposition or ingroup-outgroup grievances."
attack any jews that you see,EXTREMIST,VE,Religious,Religious group,"The message explicitly advocates for physical attacks against a religious group (Jews), which constitutes a serious threat of action and support for physical violence."
i applaud the murder of refugees,EXTREMIST,VE,political,Nationality,"The message expresses explicit support for physical attacks by applauding murder, which is a serious threat of action. The target group is refugees, a nationality-based demographic."
murder her retweet when you fuck with crazy bitches shit like this happens feel bad for old boy,EXTREMIST,VE,Ideological,Gender,The message contains a serious threat of action (murder) and expresses support for physical harm towards a gender group ('crazy bitches' implies women). It indicates a personal responsibility to act as a consequence of perceived provocation.
just hang the rapist without interrogation or trial face with symbols on mouth justice for twinkle justice for asia,EXTREMIST,VE,ideological,Gender,"The message advocates for hanging rapists without interrogation or trial, showing support for physical action and structural damage (execution without due process). The target group is gender-based, focusing on rapists, typically implicating male perpetrators concerning female victims."
country formerly known as france is so far gone that they do not even call terrorism terrorism anymore parisattack is the new official permanent hashtag of paris refugeesnotwelcome brexit maga,EXTREMIST,NVE,N/A,"Nationality, Refugees","The message expresses vocal opposition to mainstream political responses and grievances related to refugees and national identity but does not contain serious threats, advocacy for physical attacks, or personal responsibility to act."
if i hear one more black cab driver talk about low income i am going to shoot myself,EXTREMIST,NVE,N/A,Occupation,"The message expresses frustration towards a specific occupation group (black cab drivers) but does not contain any serious threat of action, advocacy of structural damage, support for physical attacks, or any indication of personal responsibility to act. The mention of 'shoot myself' is self-directed and metaphorical rather than violent extremism targeting others."
worldbank reports that in the next years many refugees have to leave her homeland specially in africa who will feed them is europe able to shoot them down and protect her own homeland before it will destroy from africans,EXTREMIST,VE,Political,"Nationality (Africans, Europeans)","The message contains a serious threat of action by suggesting that Europe might 'shoot them down' to protect its homeland, indicating support for physical attacks and structural damage. It also reflects a catalyst/crisis (mass refugee movement) that the user feels compels action."
i love male gays that being said i do not feel the same about the women who belong to that group in all honesty i would love if they could live separately like the animals they are,EXTREMIST,VE,Ideological,"Gender, Sexual orientation","The message expresses dehumanizing language and a desire for segregation of women within a sexual minority group, implying hostility and exclusion. Although it does not explicitly call for physical violence, the expression 'like the animals they are' and 'love if they could live separately' implies structural division and hostility. This reflects a serious threat of action and ideological extremism targeting women of the LGBTQ+ community."
this bitch is crazy kill this woman,EXTREMIST,VE,ideological,Gender,"The message contains a direct threat to kill a woman, indicating a serious threat of action and support for physical violence, specifically targeting a female individual."
i would kill myself if my daughter married a dirty chink,EXTREMIST,VE,Ideological,Ethnic/Racial group,The message contains a serious threat of action (self-harm implied due to daughter's potential marriage) and expresses hostility towards a specific ethnic/racial group using a derogatory term. This supports the classification as Violent Extremist with an ideological focus targeting an ethnic/racial group.
laughing out loud you failed as well people need to learn to stop correcting others for a minimal grammatical error considered irrelevant because as can be seen by the lack of be in so it would easier whatever all make mistakes whatever are humans and most regular individuals do not give importance to typing correctly on the internet unless you are a super grammar nazi,EXTREMIST,NVE,N/A,Unclear,"The message expresses a casual opinion about grammar and correcting others without any mention of physical force, threats, structural damage, or a personal call to violent action. There is no indication of ingroup-outgroup grievance towards any demographic."
killing these beautiful animals for sport is deplorable why doesn t they hunt niggers instead,EXTREMIST,VE,ideological,Ethnic/racial group,"The message contains a serious threat of action by suggesting violence against a racial group, indicating support for physical attacks and personal responsibility to act."
the only solution of rapist is that hang till death this place is not for this kind of demons justicefortwinklesharma,EXTREMIST,VE,Ideological,Gender,"The message advocates for structural damage and physical action ('hang till death') against rapists, indicating a serious threat of action and personal responsibility to act. The target demographic is implied as male perpetrators against presumably female victims, focusing on gender."
human babes are not pleasant to look at i prefer the animals,EXTREMIST,NVE,N/A,Gender,"The message expresses a negative opinion about human females without any threat, advocacy of violence, or call to action involving physical harm or structural damage."
black is such a filthy skin color everything black gets dirty easily that is why white is always superior,EXTREMIST,NVE,N/A,Ethnic/racial group,"The message expresses vocal opposition and ingroup-outgroup grievances by promoting racial superiority and derogatory views but does not contain serious threats, advocate for structural damage, or call for physical attacks."
maybe italians see this as the only effective where are you to purge italy from illegal immigration,EXTREMIST,VE,Political,Nationality,"The message includes a call to 'purge Italy from illegal immigration,' which is a serious threat of action targeting a nationality group, indicating support for physical or structural action."
let us kill all of them and get it over with they are fucking scum,EXTREMIST,VE,Ideological,Unclear,"The message contains a serious threat of action ('let us kill all of them') and expresses support for physical attacks, indicating personal responsibility to act. The target group is not specified clearly."
i will shoot my boss,EXTREMIST,VE,political,Occupation,"The message contains a serious threat of action involving physical violence towards the boss, indicating a personal responsibility to act."
